# (Kp, Ki, Kd, alpha) = (0.7, 0.11666666666666667, 1.0, 0)
#  Sacamos el alpha, barremos sólo el Ki
#  tiempo, setpoint, pwm, error
9.049429893493652344e+00,3.000000000000000000e+02,1.289493530245111970e+02,2.200000000000000000e+01
9.112813949584960938e+00,3.000000000000000000e+02,1.274576689684319888e+02,2.000000000000000000e+01
9.177358865737915039e+00,3.000000000000000000e+02,1.429613330353771232e+02,1.900000000000000000e+01
9.241952180862426758e+00,3.000000000000000000e+02,1.100305596008692106e+02,1.600000000000000000e+01
9.305500268936157227e+00,3.000000000000000000e+02,1.401500887021230710e+02,1.500000000000000000e+01
9.368952751159667969e+00,3.000000000000000000e+02,1.395300176576519107e+02,1.400000000000000000e+01
9.433761596679687500e+00,3.000000000000000000e+02,1.392581433313333719e+02,1.300000000000000000e+01
9.497559070587158203e+00,3.000000000000000000e+02,1.384028504797990422e+02,1.200000000000000000e+01
9.561337947845458984e+00,3.000000000000000000e+02,1.377801296375341167e+02,1.100000000000000000e+01
9.625293731689453125e+00,3.000000000000000000e+02,1.371981145072448669e+02,1.000000000000000000e+01
9.721763849258422852e+00,3.000000000000000000e+02,1.418693063214911945e+02,9.000000000000000000e+00
9.785561323165893555e+00,3.000000000000000000e+02,1.359201530525262172e+02,8.000000000000000000e+00
9.849367141723632812e+00,3.000000000000000000e+02,1.516543069601059130e+02,8.000000000000000000e+00
9.912942647933959961e+00,3.000000000000000000e+02,1.352768987987374487e+02,7.000000000000000000e+00
9.976932764053344727e+00,3.000000000000000000e+02,1.510584855516751759e+02,7.000000000000000000e+00
1.004128789901733398e+01,3.000000000000000000e+02,1.348647585603390837e+02,6.000000000000000000e+00
1.010546517372131348e+01,3.000000000000000000e+02,1.341591312959997140e+02,5.000000000000000000e+00
1.016950035095214844e+01,3.000000000000000000e+02,1.497783247431119378e+02,5.000000000000000000e+00
1.023293232917785645e+01,3.000000000000000000e+02,1.333430073130560913e+02,4.000000000000000000e+00
1.029740881919860840e+01,3.000000000000000000e+02,1.491380153616269695e+02,4.000000000000000000e+00
1.036096072196960449e+01,3.000000000000000000e+02,1.327250884320071407e+02,3.000000000000000000e+00
1.042507743835449219e+01,3.000000000000000000e+02,1.484826993783315174e+02,3.000000000000000000e+00
1.052208042144775391e+01,3.000000000000000000e+02,1.374963720942460270e+02,2.000000000000000000e+00
1.058557319641113281e+01,3.000000000000000000e+02,1.478201483885447374e+02,2.000000000000000000e+00
1.064940977096557617e+01,3.000000000000000000e+02,1.150901465211311034e+02,0.000000000000000000e+00
1.071342396736145020e+01,3.000000000000000000e+02,1.464201483885447317e+02,0.000000000000000000e+00
1.077704811096191406e+01,3.000000000000000000e+02,1.299954216772253233e+02,-1.000000000000000000e+00
1.084105873107910156e+01,3.000000000000000000e+02,1.457052576661110379e+02,-1.000000000000000000e+00
1.090516042709350586e+01,3.000000000000000000e+02,1.456977791349093536e+02,-1.000000000000000000e+00
1.096952247619628906e+01,3.000000000000000000e+02,1.294456550016342362e+02,-2.000000000000000000e+00
1.103293371200561523e+01,3.000000000000000000e+02,1.449679653684298444e+02,-2.000000000000000000e+00
1.109768009185791016e+01,3.000000000000000000e+02,1.288004251741977271e+02,-3.000000000000000000e+00
1.116127705574035645e+01,3.000000000000000000e+02,1.277916044835253473e+02,-4.000000000000000000e+00
1.122519516944885254e+01,3.000000000000000000e+02,1.434857970992724177e+02,-4.000000000000000000e+00
1.132186174392700195e+01,3.000000000000000000e+02,1.323845708123475049e+02,-5.000000000000000000e+00
1.138551139831542969e+01,3.000000000000000000e+02,1.426922792991002780e+02,-5.000000000000000000e+00
1.144894671440124512e+01,3.000000000000000000e+02,1.426552753647168856e+02,-5.000000000000000000e+00
1.151282644271850586e+01,3.000000000000000000e+02,1.426180121898651407e+02,-5.000000000000000000e+00
1.157693576812744141e+01,3.000000000000000000e+02,1.425806150833765855e+02,-5.000000000000000000e+00
